district,week,offplan_secondary_share_pct,offplan_secondary_share_pre_pct,delta_pp
Al Jubail Island,2026-03-23,100.0,45.39007092198582,54.60992907801418
Al Jubail Island,2026-03-30,100.0,45.39007092198582,54.60992907801418
Al Jubail Island,2026-04-06,0.0,45.39007092198582,-45.39007092198582
Al Jubail Island,2026-04-20,0.0,45.39007092198582,-45.39007092198582
Al Jubail Island,2026-04-27,0.0,45.39007092198582,-45.39007092198582
Al Jubail Island,2026-05-11,0.0,45.39007092198582,-45.39007092198582
Al Jubail Island,2026-05-18,0.0,45.39007092198582,-45.39007092198582
Al Maryah Island,2026-02-23,33.33333333333333,12.074303405572756,21.259029927760572
Al Maryah Island,2026-03-02,0.0,12.074303405572756,-12.074303405572756
Al Maryah Island,2026-03-09,15.384615384615385,12.074303405572756,3.3103119790426287
Al Maryah Island,2026-03-16,0.0,12.074303405572756,-12.074303405572756
Al Maryah Island,2026-03-23,0.0,12.074303405572756,-12.074303405572756
Al Maryah Island,2026-03-30,100.0,12.074303405572756,87.92569659442725
Al Maryah Island,2026-04-06,100.0,12.074303405572756,87.92569659442725
Al Maryah Island,2026-04-13,0.0,12.074303405572756,-12.074303405572756
Al Maryah Island,2026-04-27,11.11111111111111,12.074303405572756,-0.9631922944616456
Al Raha Beach,2026-03-02,0.0,0.0,0.0
Al Raha Beach,2026-03-30,0.0,0.0,0.0
Al Raha Beach,2026-04-06,0.0,0.0,0.0
Al Raha Beach,2026-04-13,0.0,0.0,0.0
Al Raha Beach,2026-04-20,0.0,0.0,0.0
Al Raha Beach,2026-04-27,0.0,0.0,0.0
Al Raha Beach,2026-05-04,0.0,0.0,0.0
Al Raha Beach,2026-05-11,0.0,0.0,0.0
Al Raha Beach,2026-05-18,0.0,0.0,0.0
Al Reem Island,2026-02-23,0.0,2.3408732246186217,-2.3408732246186217
Al Reem Island,2026-03-02,1.5625,2.3408732246186217,-0.7783732246186217
Al Reem Island,2026-03-09,3.0864197530864197,2.3408732246186217,0.745546528467798
Al Reem Island,2026-03-16,0.0,2.3408732246186217,-2.3408732246186217
