district,ptype,layout,n_pre,psm_pre,psm_pre_mean,psm_pre_std,sqm_med,price_pre,n_post,psm_post,price_post,n_ctrl,psm_ctrl,naive_change_pct,seasonal_change_pct,excess_change_pct,vol_pre_monthly,vol_post_monthly,vol_change_ratio,regime_class
Hudayriyat Island,villa,5 beds,374,17623.02902045135,20061.164264421353,6160.3835526853745,467.7,10427176.83,148,12377.418199035152,9672581.0,9,15716.341310612705,-29.765659554488167,,-29.765659554488167,31.166666666666668,47.36,1.519572192513369,panic distribution
Al Saadiyat Island,apartment,studio,216,28401.508328250806,29464.476553866778,7496.890720411705,40.09,1149143.0,71,31095.61174077303,1100000.0,79,37637.132352941175,9.485775830582966,32.518075863963006,-23.03230003338004,18.0,22.72,1.2622222222222221,panic distribution
Al Shamkha,apartment,1 bed,116,13419.237660804101,12969.776881601203,2379.5494551599095,66.41,871843.0,20,13120.349501895591,890000.0,0,,-2.2273110176856403,,-2.2273110176856403,9.666666666666666,6.4,0.6620689655172415,resilient
Fahid Island,duplex,2 beds,63,45249.45912279552,45324.506388428184,2593.8518275702068,153.2,7046900.0,41,44463.04165321279,7056600.0,0,,-1.7379599332858042,,-1.7379599332858042,5.25,13.12,2.499047619047619,resilient
Al Raha Beach,duplex,3 beds,24,14813.165706558542,15018.733409218594,5132.989970306296,180.26,2771250.0,16,14596.900624577978,4478500.0,3,6071.164607749974,-1.45995181762405,,-1.45995181762405,2.0,5.12,2.56,resilient
Fahid Island,apartment,4 beds,52,40730.129865324845,40670.29740586195,1787.5641643727959,290.73,11619100.0,18,40165.43422184007,11982950.0,0,,-1.3864322194698464,,-1.3864322194698464,4.333333333333333,5.76,1.3292307692307692,resilient
Al Saadiyat Island,villa,4 beds,76,16214.318686595154,18506.86681893108,7019.8529185503085,495.83,8073633.325,45,16134.562249157978,8000000.0,33,16188.50745215094,-0.49188892224693026,-0.15918790633832058,-0.3327010159086097,6.333333333333333,14.4,2.2736842105263158,resilient
Al Raha Beach,apartment,4 beds,13,16675.61562673579,17932.975966567235,5421.699356541864,227.48,4150000.0,12,16709.468254563726,3630500.0,2,14788.66277987307,0.20300676500157877,,0.20300676500157877,1.0833333333333333,3.84,3.5446153846153847,resilient
Fahid Island,apartment,2 beds,312,36433.568117963136,36498.98235218869,4710.093278652996,143.85,4908989.0,106,36629.82874308547,5040014.5,0,,0.5386807695773488,,0.5386807695773488,26.0,33.92,1.3046153846153847,resilient
Al Saadiyat Island,villa,5 beds,85,17806.293818664522,21167.496519943008,9427.529111619653,576.05,10091252.5,51,17117.006969067123,9800000.0,25,16904.15738678545,-3.871029292321859,-5.066390800164466,1.1953615078426072,7.083333333333333,16.32,2.3040000000000003,resilient
