,Al Reem Island,Yas Island,Al Saadiyat Island,Al Reef,Khalifa City,Al Raha Beach,Zayed City,Al Layyan,Al Shamkha
2019Q1,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
2019Q2,1.0300996297049074,0.9893117250522717,0.8691459530451151,1.0053646685801272,1.0304735823464768,0.9946489765650368,,1.0722147124014023,2.2801688091851546
2019Q3,0.998215728723683,0.9042570095106073,0.9603273723181885,1.0013318632131911,1.0100949304622502,0.9415243748105858,,1.203662629453912,1.166669519170807
2019Q4,1.0358693208165328,0.9304240465923894,0.686558712495816,1.0044792938547455,0.874736800379087,0.8813688194372591,,1.0367019829877617,0.8759579063017019
2020Q1,0.9965181753283036,1.0113330542416712,0.6331520226588542,1.0180581127112511,0.8831679980856076,0.8514160278404851,,0.9049609065884473,1.065574948681629
2020Q2,1.0059823210952945,1.1365627203978037,0.7157521273538561,0.9877553758603765,0.8458911284569686,0.8463289966214634,,1.034583177735576,1.2716182986211475
2020Q3,0.948472646895821,1.061394086307539,0.7046018199348727,0.9930821059521975,0.7813255743230296,0.8660824001713352,,1.0089129052864683,1.4816656650541529
2020Q4,0.9430025003079284,1.0783149549064834,0.6706515106057376,0.9949573545147432,0.9033976879330782,0.8244488234742453,,0.9487872200689191,1.8354281387123712
2021Q1,0.9332458204553985,1.09236706095225,0.7494320482828003,1.0224930889780766,0.8980335808949297,0.895626875026478,,0.8932060001126273,1.3020409761446141
2021Q2,0.8901882656089298,1.1935280271637694,0.7238676378356638,1.0276926835290363,0.9232758744876998,0.7985550696133307,,0.9119119942004332,
2021Q3,0.8960211624069129,1.148518185936171,0.7599883830836575,1.028179099606759,0.9214798530368712,0.8181299398097167,,0.9328195315051137,1.4900259009523353
2021Q4,0.906851348472546,1.1452588744674757,0.6652587951090034,1.0177611224684813,1.0261540102065276,0.8058146709800472,,0.977140970028591,1.58392425065161
2022Q1,0.8657178693090376,1.176645701880062,0.7111957143203291,1.0298346810111463,0.9383755267104654,0.8405080616505062,,0.9707011757274053,1.7207609685096088
2022Q2,0.8766066500839591,1.1633547080076598,0.9927144204164142,1.0526191298001315,0.9225528036716714,0.8576624631468829,,0.926109419348263,1.80020678159674
2022Q3,0.8922203718972639,1.2316294434890658,0.9498811091159448,1.032623139239793,1.1225397947260651,0.805080138866377,1.0,0.917771440438811,1.9393252317705107
2022Q4,0.8597566509290403,1.285500618091456,0.848499266232899,1.0287761644362832,0.9219328576463173,0.7174824744120959,1.0158857359863194,0.9399704137438206,1.7630929514087073
2023Q1,0.8645543638781484,1.2063944719776654,0.8112208715171639,1.0012526236362451,0.9642697610765628,0.8452052472808306,1.008210235384447,0.9915710689899749,1.6167582265125264
2023Q2,0.8753119191192138,1.2238920503303923,0.8975454283984196,1.0104857362700082,0.9911897789397031,0.8994700209307579,1.034713658214792,1.0008712208574249,1.953217596250151
2023Q3,0.7794350683884239,1.2828997823139348,0.9068348257091747,0.9903776744506366,0.9744757508372988,0.8891137551100945,1.0681284726842635,0.9753763906348971,2.0445890890476286
2023Q4,0.8294288024566533,1.4483456301951148,0.9047158704430885,0.9323951756765704,0.9366768414361686,0.8601943577135255,1.070710732254368,1.0236447781291598,2.0482960369698535
2024Q1,0.8869001807765183,1.3851237106034473,0.9391294105336087,0.9934093357406899,1.0476964972788465,0.935932132482461,1.072371224236106,1.0455117533444978,2.0272791344331895
2024Q2,0.8720741761922349,1.3937552733059084,1.0129992289028231,0.9605291683514888,1.0015453998793733,0.9474107965968922,1.0970086919483537,1.0886192615373151,2.0608757446492727
2024Q3,0.9071254591081228,1.4125446447331371,0.9956180086341904,1.01767300173081,0.9605263081098121,0.9954262490833932,1.1434662316524962,1.0698841332990583,2.068273473279116
2024Q4,0.9010656888367458,1.5153985925617752,1.0230141728437787,0.9961390884810961,0.9788537419890778,1.0499559705486046,1.1743338280246365,1.165684473452784,2.048879299409815
2025Q1,1.0149204048568516,1.5274601715961151,1.2455715079998646,1.0358482942300817,1.1399027132172883,1.066483318196969,1.1868557421198869,1.2263180044510207,2.0001834543334707
2025Q2,1.0711106262030563,1.641479543226863,1.0662149063987267,1.0517146985500097,1.1826882902775488,1.0819398855060778,1.198836009198954,1.2983441746804203,2.0053006796811768
2025Q3,1.1314351301847507,1.5689918523489996,1.0887346171888432,1.1522321172623524,1.2126463985770368,1.1687966990198866,1.264245606395355,1.3003506015834416,1.933982007195125
2025Q4,1.17749422928092,1.6813403384660408,1.174455193417071,1.3302512409226634,1.2389660238193219,1.3191413449209637,1.2880522564047028,1.3520340594481048,2.1354759332816897
2026Q1,1.2269537792797405,1.9841211568851915,1.4563724180998003,1.4149208120969017,1.2793832274140076,1.5182447154939391,1.3190759102919662,1.4659983777954617,2.0718281653556456
2026Q2,1.2807820489346684,1.9464042137773458,1.3106270707721575,1.4283394501100881,1.402076334691263,1.4445036888253378,1.371107342317824,1.389023650241201,2.214407520144146
