year,n,median_psm,median_price,median_sqm,yas_n,yas_psm,mayan_premium_pct
2022,28,16578.0,975573.0,57.0,54,15289.0,8.4
2023,14,13535.0,886100.0,70.0,47,13309.0,1.7
2024,13,17228.0,920820.0,50.0,44,15844.0,8.7
2025,11,22591.0,1400000.0,65.0,64,19336.0,16.8
2026,3,30300.0,1500000.0,49.0,41,16619.0,82.3
