,citywide_hedonic_index
2019Q1,1.0
2019Q2,1.0318233567476338
2019Q3,1.015066301694189
2019Q4,1.0142160210155517
2020Q1,0.9709883430412284
2020Q2,0.9866448829681629
2020Q3,0.9501245522733387
2020Q4,0.9587619254217562
2021Q1,0.9906671544442979
2021Q2,0.9854107304942057
2021Q3,0.9929850743943077
2021Q4,0.971608388745674
2022Q1,0.9861128884176018
2022Q2,1.0177994753477924
2022Q3,1.0393502576609661
2022Q4,1.018006629679138
2023Q1,0.9762080249329856
2023Q2,1.0559011055920522
2023Q3,1.0151118936078005
2023Q4,1.0608710412817999
2024Q1,1.0681530889485258
2024Q2,1.0731208872168267
2024Q3,1.1118012475901535
2024Q4,1.1630762216854502
2025Q1,1.2453900723256233
2025Q2,1.2290656718461797
2025Q3,1.262133477612621
2025Q4,1.376329365218127
2026Q1,1.5169881814954747
2026Q2,1.5014053965246394
