district,last_12m,prior_12m,delta_pp
Al Saadiyat Island,89.47509879349882,73.15161901817267,16.32347977532615
Al Reem Island,27.265271309206597,24.50409196314236,2.7611793460642353
Al Raha Beach,23.539889673935498,28.603064428672997,-5.063174754737499
Yas Island,17.433453893715935,22.238185767097953,-4.804731873382018
Bani Yas,14.939872359078855,46.26505418248561,-31.32518182340676
Al Maryah Island,8.841506807866883,51.32858876266126,-42.48708195479438
Khalifa City,-19.461038688416533,-16.692685568413467,-2.7683531200030664
Al Layyan,-42.78179399936164,-33.98208131047114,-8.799712688890502
