district,ptype,layout,n_pre,psm_pre,psm_pre_mean,psm_pre_std,sqm_med,sqm_p10,sqm_p90,price_pre,n_post,psm_post,n_ctrl,psm_ctrl,naive_change_pct,seasonal_change_pct,excess_change_pct,vol_pre_monthly,vol_post_monthly,vol_change_ratio,window_label,regime_class
Hudayriyat Island,apartment,1 bed,57,21583.98719801776,21306.857968075255,2255.6072280123794,101.4,92.61,124.66,2175000.0,166,25169.337448342325,0,,16.611158158275032,,16.611158158275032,4.75,53.12,11.183157894736842,raw_pivot,resilient
Hudayriyat Island,apartment,2 beds,112,18923.523202746008,19438.96108447495,3184.4294393450923,171.865,143.229,206.732,3295810.5,216,24076.99873310387,0,,27.233171514330024,,27.233171514330024,9.333333333333334,69.12,7.405714285714286,raw_pivot,resilient
Hudayriyat Island,apartment,3 beds,42,18998.30359062567,19213.20841726867,1768.510060662944,232.55,190.221,257.693,4413435.0,108,22268.061119909522,0,,17.21078681413033,,17.21078681413033,3.5,34.56,9.874285714285715,raw_pivot,resilient
Hudayriyat Island,villa,4 beds,430,19173.8962883134,20114.913543993316,4592.645047592906,374.3,251.51,669.36,7272393.5,139,20150.823792999807,15,12247.92936536393,5.095091211491787,-36.12185451931794,41.21694573080973,35.833333333333336,44.48,1.241302325581395,raw_pivot,resilient
Hudayriyat Island,villa,5 beds,374,17623.02902045135,20061.164264421353,6160.3835526853745,467.7,334.51,1197.15,10427176.83,148,12377.418199035152,9,15716.341310612705,-29.765659554488167,,-29.765659554488167,31.166666666666668,47.36,1.519572192513369,raw_pivot,panic distribution
Yas Island,apartment,1 bed,1159,20329.82655672448,20525.699664734006,4727.092614490788,74.26,64.79,95.22,1604789.0,698,24690.35632202478,180,18750.089354498414,21.448927530854768,-7.770539496823892,29.21946702767866,96.58333333333333,223.36,2.312614322691976,raw_pivot,resilient
Yas Island,apartment,2 beds,1092,20148.15663687069,20862.902994051707,5270.128493886798,120.43,103.42,176.899,2525500.0,462,24766.030474467938,149,18320.699126092382,22.91958475817404,-9.070097794624555,31.989682552798595,91.0,147.84,1.6246153846153846,raw_pivot,resilient
Yas Island,apartment,3 beds,354,19882.328161424186,19818.723748875662,5965.130460844018,165.59,132.48600000000002,267.81,3233475.0,82,21154.359327883576,64,19885.16647622873,6.397797864172627,0.014275565625410103,6.383522298547217,29.5,26.24,0.8894915254237288,raw_pivot,resilient
Yas Island,apartment,studio,782,22613.513211407804,23741.93936330517,7181.741433898999,43.48,31.532,49.339000000000006,1000000.0,346,29175.259363298042,128,21650.05057611339,29.016924926906285,-4.260561489438874,33.277486416345155,65.16666666666667,110.72,1.6990281329923271,raw_pivot,resilient
Yas Island,duplex,3 beds,19,14927.754189944135,16037.831864002997,4958.830565085907,161.59,121.96,318.4859999999999,2136169.0,9,20224.51007236456,3,13103.689734339128,35.48260384665569,,35.48260384665569,1.5833333333333333,2.88,1.8189473684210526,raw_pivot,resilient
