district,ptype,layout,tier,n_post_ready,psm_post_ready,price_med,net_yield_pct,net_yield_adj_pct,worst_case_yield,excess_change_pct,excess_ci_lo,excess_ci_hi,ci_crosses_zero,vol_change_ratio,regime_class,distress_count,supply_overhang_ratio,s_yield,s_worst_yield,s_panic,s_distress,s_liquidity,s_supply_inv,total,confidence
Al Reem Island,apartment,2 beds,affordable,83,13993.82,1769000.0,5.39,6.08,3.78,35.71,34.66,36.55,False,1.61,resilient,5,1.36,86.09,86.13,0,100.0,100.0,72.25,74.58,high
Al Reem Island,apartment,1 bed,midtier,76,15594.19,1203500.0,5.44,6.18,3.72,32.69,29.87,34.97,False,1.41,resilient,5,1.36,88.09,84.39,0,100.0,91.03,72.25,73.39,high
Al Reem Island,apartment,3 beds,midtier,28,16880.5,2782500.0,4.59,5.21,3.14,24.92,18.98,28.82,False,0.86,resilient,5,1.36,69.19,67.63,0,100.0,29.49,72.25,56.08,medium
Yas Island,apartment,2 beds,midtier,20,18754.89,2374829.5,5.09,5.99,3.71,30.57,27.65,32.99,False,1.24,resilient,1,4.78,84.37,84.1,0,38.69,19.23,2.72,45.08,medium
